Pair,Predicted Interaction Signal,Risk Type (Dominant),Confidence,Flag
Minoxidil – Citral,Additive vasodilation and local penetration enhancement,Local irritation / erythema,Medium,MODERATE_RISK
Minoxidil – Eugenol,Enhanced skin penetration and sensitization potential,Contact dermatitis,Medium,MODERATE_RISK
Minoxidil – Anethole,Weak PK interaction via skin absorption modulation,Mild local irritation,Low,SAFE
Minoxidil – Finasteride,Complementary pharmacodynamic effect (vascular + anti-androgen),w,High,SAFE
Minoxidil – Citral – Eugenol (triad),Synergistic penetration enhancement,Cumulative irritation risk,Medium,MODERATE_RISK
Finasteride – Eugenol,Potential CYP3A4 modulation (weak inhibitor),Altered finasteride clearance (theoretical),Low,LOW_RISK
Finasteride – Anethole,No significant shared metabolic pathway,No dominant risk identified,Low,SAFE
Finasteride – Citral,Weak enzyme modulation signal,Negligible systemic interaction,Low,SAFE
Citral – Eugenol,Additive sensitization liability,Skin sensitization,Medium–High,MODERATE_RISK
Citral – Anethole,Overlapping fragrance allergen profiles,Irritation (dose-dependent),Medium,MODERATE_RISK
Eugenol – Anethole,Shared phenylpropanoid class → additive dermal effects,Sensitization,Medium,MODERATE_RISK
