ID,INCI,Functions,Estimated Percent
1,Ethanol,Solvent | Fragrance carrier,75.0%
2,Water,Solvent,10.0%
3,Phenethyl Alcohol,Fragrance | Functional active,4.0%
4,α-Terpineol,Fragrance | Functional active,2.0%
5,γ-Decalactone,Fragrance | Functional active,1.5%
6,Patchoulol,Fragrance | Fixative,1.5%
7,Borneol,Fragrance | Secondary modulator,1.0%
8,Pentylene Glycol,Solvent | Skin feel enhancer,2.5%
9,Glycerin,Humectant | Skin comfort,1.5%
10,Ethylhexylglycerin,Preservative | Skin conditioning,0.4%
11,Caprylhydroxamic Acid,Preservative,0.2%
12,Sodium Citrate,pH Adjuster,0.2%
13,Citric Acid,pH Adjuster,0.1%
