docked_structure,compound,target,delta_g
https://workflow-data-2sa8.vercel.app/data/docking/CHRM1+Tiotropium_Caffeine_complex.pdb,Caffeine,CHRM1,-7.6
https://workflow-data-2sa8.vercel.app/data/docking/CHRM1+Tiotropium_Theobromine_complex.pdb,Theobromine,CHRM1,-7.8
https://workflow-data-2sa8.vercel.app/data/docking/CHRM1+Tiotropium_Catechin_complex.pdb,Catechin,CHRM1,-7.4
https://workflow-data-2sa8.vercel.app/data/docking/CHRM1+Tiotropium_L-Theanine_complex.pdb,L-Theanine,CHRM1,1.2
https://workflow-data-2sa8.vercel.app/data/docking/CHRM1+ligand3.pdb,(-)-Epicatechin,CHRM1,-7.2
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Vanillin,CHRM1,-0.2
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl vanillin,CHRM1,-3.5
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Maltol,CHRM1,-2.8
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl maltol,CHRM1,-6.9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Caffeine,DRD1,-10.1
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Theobromine,DRD1,2.2
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,(-)-Epicatechin,DRD1,-7.0
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Catechin,DRD1,-4.4
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,L-Theanine,DRD1,-5.4
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Vanillin,DRD1,-5.3
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl vanillin,DRD1,-10
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Maltol,DRD1,-1.3
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl maltol,DRD1,-1.9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Caffeine,OR2J3,-3.5
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Theobromine,OR2J3,-8.1
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,(-)-Epicatechin,OR2J3,2.9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Catechin,OR2J3,-9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,L-Theanine,OR2J3,-1.8
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Vanillin,OR2J3,-5.6
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl vanillin,OR2J3,-9.9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Maltol,OR2J3,-9.5
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Ethyl maltol,OR2J3,-2.3
