ID,ingredient_name,inci_name,cas_number,supplier_count,sources
1,Denatonium Benzoate,Denatonium Benzoate,3734-33-6,95,
2,Isopropyl Alcohol,Isopropyl Alcohol,67-63-0,300,
3,Ethanol,Alcohol,64-17-5,350,
4,Citric Acid,Citric Acid,77-92-9,400,
5,Sodium Bicarbonate,Sodium Bicarbonate,144-55-8,280,
6,Bitter Apple Extract,Pyrus Malus (Apple) Extract,85251-63-4,45,
7,Grapefruit Seed Extract,Citrus Paradisi Seed Extract,90045-43-5,80,
8,Lemon Extract,Citrus Limon (Lemon) Fruit Extract,84929-31-7,70,
9,Glycerin,Glycerin,56-81-5,500,
10,Purified Water,Aqua,7732-18-5,1000,
