docked_structure,compound,target,delta_g
https://workflow-data-2sa8.vercel.app/data/docking/Anethole.pdb,Anethole,SRD5A2,-7.4
https://workflow-data-2sa8.vercel.app/data/docking/Citral.pdb,Citral,SRD5A2,-7.8
https://workflow-data-2sa8.vercel.app/data/docking/Eugenol.pdb,Eugenol,SRD5A2,-7.2
https://workflow-data-2sa8.vercel.app/data/docking/Finasteride.pdb,Finasteride,SRD5A2,-7.4
https://workflow-data-2sa8.vercel.app/data/docking/Anethole.pdb,Anethole,SMO,-7.4
https://workflow-data-2sa8.vercel.app/data/docking/Citral.pdb,Citral,SMO,-7.8
https://workflow-data-2sa8.vercel.app/data/docking/Eugenol.pdb,Eugenol,SMO,-7.2
https://workflow-data-2sa8.vercel.app/data/docking/Finasteride.pdb,Finasteride,SMO,-7.4
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Minoxidil,SRD5A2,-7.6
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Licochalcone A,SRD5A2,-6.9
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Minoxidil,SMO,-7.6
https://workflow-data-2sa8.vercel.app/data/docking/7S61-COMPOUND_CID_64982-d4xxf_DOCKED.pdb,Licochalcone A,SMO,-6.9
