Compound,MW,logP,TPSA,logKp,Skin retention,Follicular delivery,Systemic risk,Topical suitability
Quercetin,302,1.8,131,-6.5,High,Medium,Low,Good
Kaempferol,286,2.0,111,-6.2,High,Medium,Low,Good
Apigenin,270,2.5,90,-5.8,Medium–High,Medium,Low,Good
Luteolin,286,2.1,111,-6.1,High,Medium,Low,Good
Finasteride,272,2.3,87,-5.6,Medium,Medium,Low,Good
Hesperidin,610,-0.5,234,-9.0,Very High,Low,Very Low,Poor (too polar/bulky)
Rutin,610,-1.0,269,-9.5,Very High,Low,Very Low,Poor
Ferulic acid,194,1.5,66,-5.2,Medium,Medium,Low,Very good
p-Coumaric acid,164,1.6,57,-5.0,Medium,Medium,Low,Very good
Caffeic acid,180,1.0,77,-5.8,Medium–High,Low,Low,Moderate
Vanillic acid,168,1.3,67,-5.4,Medium,Medium,Low,Good
Syringic acid,198,1.1,86,-5.9,Medium–High,Low,Low,Moderate
Minoxidil,209,1.2,73,-5.5,Medium,High,Medium,Excellent (benchmark)
Caffeine,194,-0.1,61,-6.8,Low,Low,Low,Poor alone (needs formulation)
Adenosine,267,-1.1,139,-7.5,Low,Low,Very Low,Poor
Piroctone olamine,297,2.5,74,-4.8,Medium,Medium,Medium,Very good
Niacinamide,122,-0.6,58,-6.3,Low,Low,Low,Good (barrier-friendly)
Baicalin,446,0.2,187,-8.2,Very High,Low,Very Low,Poor
Licochalcone A,338,4.0,67,-4.2,Medium,High,Medium,Excellent
Melatonin,232,1.2,54,-5.0,Medium,Medium,Low,Good
Menthol,156,3.4,20,-3.8,Low,High,Medium,Excellent enhancer
EGCG,458,0.1,197,-8.0,Very High,Low,Very Low,Poor
Resveratrol,228,3.1,60,-4.5,Medium,Medium,Medium,Very good
Capsaicin,305,3.2,74,-4.6,Medium,High,Medium,Good (irritation risk)
Salicylic acid,138,2.3,37,-4.7,Low,Medium,Medium,Very good
Tryptophan,204,-1.4,90,-7.2,Low,Low,Very Low,Poor
Tyrosine,181,-2.0,83,-7.5,Low,Low,Very Low,Poor
Sucralose,397,-3.0,190,-9.0,Very High,Low,Very Low,Poor
Steviol glycoside (mock),320,-0.8,150,-8.0,High,Low,Very Low,Poor
Glycine,75,-3.2,63,-7.8,Low,Low,Very Low,Poor
Alanine,89,-2.8,63,-7.5,Low,Low,Very Low,Poor
Proline,115,-3.0,80,-7.6,Low,Low,Very Low,Poor
Citral,152,3.0,17,-4.0,Low,High,Medium,Very good
Eugenol,164,2.7,29,-4.3,Low,Medium,Medium,Very good
Anethole,148,3.1,17,-4.1,Low,Medium,Medium,Very good
Piperonal,150,2.0,44,-4.9,Medium,Medium,Low,Good
Coumarin,146,1.5,39,-5.0,Medium,Medium,Low,Good
Hexanal,100,2.4,17,-4.2,Low,Medium,Medium,Moderate
