Compound Name,SMILES
Acetaminophen,CC(=O)NC1=CC=C(O)C=C1
Acetylcysteine,CC(=O)NC(CS)C(=O)O
Adenine,NC1=NC=NC2=NC=NC12
Adenosine,NC1=NC=NC2=C1N=CN2[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
Adrenaline,CNC[C@H](O)C1=CC(O)=C(O)C=C1
Alanine,CC(C(=O)O)N
Allopurinol,OC1=NC=NC2=NNC=C12
Alpha-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1=CC=C(O)C=C1
Amantadine,C1C2CC3CC(C2)CC(C1)C3N
Ambroxol,CC(C)NCC(O)C1=CC(Br)=C(O)C(Br)=C1
Aminoethanol,NCCO
Amphetamine,CC(N)CC1=CC=CC=C1
Aniline,NC1=CC=CC=C1
Apigenin,O=C1C(O)=C(O)C2=CC=CC(O)=C2O1
Arginine,NC(=N)NCCC[C@H](N)C(=O)O
Ascorbic Acid,OC[C@H]1OC(O)=C(O)C(=O)[C@H]1O
Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(=O)O
Atropine,CN1[C@H]2CC[C@@H]1CC(O2)OC(=O)C(CO)C3=CC=CC=C3
Azelaic Acid,O=C(O)CCCCCCCC(=O)O
Azithromycin,CC[C@H]1[C@@H]([C@H]([C@H](O1)OC)N)OC2=CC=CC=C2
Acyclovir,NC1=NC=NC2=C1N=CN2COCCO
Acetylcholine,CC(=O)OCC[N+](C)(C)C
Acetone,CC(=O)C
Acrolein,C=CC=O
Aflatoxin B1,COC1=CC2=C(C=C1)OC3=CC(=O)OC=C23
Albendazole,CCCNC(=N)NC1=NC2=CC=CC=C2S1
Allicin,C=CCSSCC=O
Aloe-emodin,O=C1C(O)=C2C=CC(O)=CC2=CC1=O
Anserine,CN1C=NC(N)=NC1=O
Arachidonic Acid,CCCCCC=CCC=CCC=CCC=CCCC(=O)O
