Pocket,Score,Volumn,pocket_pdb
1,0.073,325.818,https://workflow-data-2sa8.vercel.app/data/docking/pocket1_formatted.pdb
2,0.063,233.436,https://workflow-data-2sa8.vercel.app/data/docking/pocket2_formatted.pdb
3,0.060,91.815,https://workflow-data-2sa8.vercel.app/data/docking/pocket3_formatted.pdb
4,0.052,362.362,https://workflow-data-2sa8.vercel.app/data/docking/pocket4_formatted.pdb
5,-0.012,515.401,https://workflow-data-2sa8.vercel.app/data/docking/pocket5_formatted.pdb
6,-0.028,370.359,https://workflow-data-2sa8.vercel.app/data/docking/pocket6_formatted.pdb
7,-0.048,251.439,https://workflow-data-2sa8.vercel.app/data/docking/pocket7_formatted.pdb
8,-0.048,363.860,https://workflow-data-2sa8.vercel.app/data/docking/pocket8_formatted.pdb
9,-0.048,162.240,https://workflow-data-2sa8.vercel.app/data/docking/pocket9_formatted.pdb
10,-0.051,178.474,https://workflow-data-2sa8.vercel.app/data/docking/pocket10_formatted.pdb
