ingredient_name,INCI_name,CAS_number,supplier_count
Methylglyoxal,Methylglyoxal,78-98-8,35
Dihydroxyacetone,Dihydroxyacetone,96-26-4,120
Leptosperin,N/A (no established INCI),520-26-3,3
Methyl syringate,Methyl Syringate,2451-71-2,18
3-Phenyllactic acid,Phenyllactic Acid,7326-19-4,22
Pinocembrin,Pinocembrin,480-39-7,14
Chrysin,Chrysin,480-40-0,16
Galangin,Galangin,548-83-4,9
Quercetin,Quercetin,117-39-5,220
Kaempferol,Kaempferol,520-18-3,85
Caffeic acid,Caffeic Acid,331-39-5,190
p-Coumaric acid,p-Coumaric Acid,501-98-4,110
MRJP-derived peptides,N/A (peptide mixture),N/A / mixture,2
Hydroxymethylfurfural,Hydroxymethylfurfural,67-47-0,95
2-Phenylethanol,Phenethyl Alcohol,60-12-8,260
Methyl anthranilate,Methyl Anthranilate,134-20-3,140
Benzoic acid,Benzoic Acid,65-85-0,420
Vanillin,Vanillin,121-33-5,380
Furaneol,Furaneol,3658-77-3,75
Nonanal,Nonanal,124-19-6,160
Hexanal,Hexanal,66-25-1,240
Melezitose,Melezitose,0597-12-6,6
Arabinose,Arabinose,5328-37-0,90
Xylose,Xylose,58-86-6,160
Sucrose,Sucrose,57-50-1,"1,000+"
Naringenin glycosides,N/A (glycoside class),N/A / mixture,8
4-Hydroxybenzoic acid,p-Hydroxybenzoic Acid,99-96-7,150
3-Methylbutanal,Isovaleraldehyde,590-86-3,120
2-Methylbutanal,2-Methylbutanal,96-17-3,85
