Name,MW_Da,logP,TPSA,HBD,HBA,RotB,notes,excluded_red
Quercetin,302,1.8,131,5,7,1,"Strong polyphenol",true
Kaempferol,286,2.0,111,4,6,1,"Polyphenol",true
Apigenin,270,2.5,90,3,5,1,"Lower OH",true
Luteolin,286,2.1,111,4,6,1,"Catechol risk",true
Naringenin,272,2.3,86,3,5,1,"Flavanone",true
Hesperetin,302,2.4,96,3,6,2,"Citrus flavonoid",true
Rutin,254,2.8,70,2,4,1,"Low polarity flavone",true
Ferulic acid,194,1.5,66,2,4,3,"Antioxidant",true
p-Coumaric acid,164,1.3,57,2,3,3,"Mild phenolic",true
Caffeic acid,180,1.1,77,3,4,3,"Catechol",true
Vanillic acid,168,1.1,66,2,4,2,"Mild",true
Syringic acid,198,1.0,86,2,5,2,"Dimethoxy",true
Minoxidil,209,1.2,108,3,6,5,"Classic K_ATP opener, water compatible",false
Caffeine,194,-0.1,61,0,6,0,"Very polar xanthine stimulant",false
Adenosine,267,-1.1,136,5,9,5,"Nucleoside; low permeability",false
Piroctone Olamine,308,4.0,52,0,3,4,"Lipophilic antifungal scaffold",false
Niacinamide,122,-0.6,66,1,3,1,"Hydrophilic vitamin B3",false
Baicalin,446,1.3,217,6,11,5,"Very high polarity, poor passive uptake",false
Licochalcone A,338,4.1,56,1,4,7,"Highly lipophilic flavonoid",false
Melatonin,232,0.8,54,1,3,5,"Amphiphilic neurohormone",false
Menthol,156,3.0,20,1,1,2,"Very lipophilic terpene",false
EGCG,458,2.1,197,8,11,6,"Large polyphenol; poor absorption",false
Resveratrol,228,3.1,60,3,3,2,"Rigid stilbene antioxidant",false
Capsaicin,305,3.2,58,2,4,9,"Vanilloid TRPV1 agonist",false
Salicylic acid,138,2.3,57,2,3,1,"Keratolytic β-hydroxy acid",false
