ID,Ingredient Name,INCI Name,CAS Number,Supplier Count
1,Glycerin,Glycerin,56-81-5,15
2,Hyaluronic Acid,Sodium Hyaluronate,9004-61-9,8
3,Prickly Pear Seed Oil,Opuntia Ficus-Indica Seed Oil,90082-21-6,2
4,Bakuchiol,Bakuchiol,10309-37-2,3
5,Ceramide NP,Ceramide NP,100403-19-8,4
6,Ethoxylated Sorbitan,Polysorbate 80,9005-65-6,12
7,Copper Tripeptide-1,Copper Tripeptide-1,89030-95-5,1
8,Niacinamide,Niacinamide,98-92-0,20
9,Squalane (Olive derived),Squalane,111-01-3,5
10,Tetrahexyldecyl Ascorbate,Tetrahexyldecyl Ascorbate,183476-82-6,0
11,Retinol (Liposomal),Retinol,68-26-8,4
12,Ferulic Acid,Ferulic Acid,1135-24-6,6
13,Gold Peptide Complex,Gold Peptide Complex,N/A,1
14,Distilled Water,Water,7732-18-5,50
15,Blue Tansy Oil,Tanacetum Annuum Oil,N/A,0
