id,brand,name,rating,reviewCount,url,imageUrl,scores.relevance,scores.coverage,scores.novelty,reasoning,description,ingredients,highlights
1,Curlsmith,Full Lengths Density Elixir,4,379,https://ca.curlsmith.com/products/full-lengths-density-elixir,https://ca.curlsmith.com/cdn/shop/products/2oz_FullLengthsDensityElixir.jpg?v=1754472424&width=1200,100,100,80,"Serum format; leave-on night scalp treatment|Weightless, non-greasy, water-based|Suitable for all hair types|No Fragrance/Parfum and no listed alcohols",Curlsmith Full Lengths Density Elixir is a night scalp serum that stimulates hair follicles and promotes healthier, fuller, thicker, longer-looking hair.,"Water, Propanediol, Glycerin, Larix Europaea (Larch Tree) Wood Extract...",Helps support healthy hair growth|Weightless non-greasy water-based texture|Vegan, cruelty free
2,The Ordinary,The Ordinary Hair Care Multi-Peptide Serum For Hair Density 30mL,4,6,https://global.oliveyoung.com/product/detail?prdtNo=GA230117421,https://image.globaloliveyoungshop.com/prdtImg/1198/c4a5ebad-6ee2-4157-b29d-7fa5a9af6dbd.jpg,100,100,60,"Leave-on scalp serum format|Lightweight, non-sticky (non-greasy) texture|Suitable for all hair/scalp types|Alcohol-free per claims",Multi-Peptide Serum For Hair Density is a scalp serum designed to give lush, healthy-looking hair.,"Water, Propanediol, Butylene Glycol, Glycerine, Caffeine...",Light and non-sticky|Suitable for all scalp and hair types
3,Divi,Scalp Serum,4,12943,https://www.ulta.com/p/scalp-serum-pimprod2035929,https://media.ulta.com/i/ulta/2603531?w=1080&h=1080&fmt=auto,90,80,80,"Serum format for scalp/hair|Leave-on, water-based, non-greasy|Made without alcohols and synthetic fragrance",Get healthier, fuller looking hair in as little as 6 weeks with Divi's award-winning, clinically tested Scalp Serum.,"Water, Glycerin, Ascorbic Acid, Caffeine...",Improves the appearance of thinning hair|Water-based, non-greasy formula|Vegan and Cruelty-Free
4,Nécessaire,The Scalp Serum - 5% Capixyl™ For Thicker, Fuller, Healthier Hair,4,680,https://www.sephora.com/product/necessaire-the-scalp-serum,https://necessaire.com/cdn/shop/files/01_TheBodyWashJumbo_FF.jpg?v=1758832448,90,80,80,"Serum format; leave-on scalp application|Quick-dry/no residue implies lightweight/non-greasy|For all hair types|Fragrance-free",A daily scalp serum with five percent Capixyl™ and one percent hyaluronic acid for thicker-, fuller-, healthier-looking hair.,"Water, Butylene Glycol, Propanediol, Acetyl Tetrapeptide-3...",Cruelty-Free|Vegan|Fragrance Free
5,dpHUE,ACV Daily Scalp Serum,4,875,https://www.ulta.com/p/acv-daily-scalp-serum-pimprod2033050,https://media.ulta.com/i/ulta/2594924?w=1080&h=1080&fmt=auto,90,80,80,"Hair growth and anti-shedding claims|Serum format; lightweight leave-on for scalp|No synthetic fragrance/parfum",dpHUE ACV Daily Scalp Serum is a lightweight scalp serum that helps soothe dry scalps, anchor hair follicles & activate healthy hair growth.,"Water, Propanediol, Butylene Glycol, Glycerin, Apple Cider Vinegar...",Helps soothe irritated, dry unbalanced scalps|Color safe|Cruelty Free
6,Odele,Rejuvenating Scalp Serum,4,201,https://www.ulta.com/p/rejuvenating-scalp-serum-pimprod2049038,https://media.ulta.com/i/ulta/2634030?w=1080&h=1080&fmt=auto,70,60,40,"Hair/scalp serum targeting density and growth|Lightweight, non-greasy claim|Suitable for all hair types|Non-compliant due to Fragrance",Odele's Rejuvenating Scalp Serum utilizes clinically proven ingredients to soothe and stimulate the scalp without leaving hair greasy.,"Water, Glycerin, Polysorbate 20, Rosmarinus Officinalis...",Invigorate + nourish your scalp|Best for all hair types|Dermatologist Tested
7,Briogeo,Destined for Density™ Peptide Hair Serum for Thicker, Fuller Hair,3,205,https://www.sephora.com/product/briogeo-destined-for-density,https://media.ulta.com/i/ulta/2610682?w=500&h=500,60,60,60,"Hair growth/density serum|Lightweight and leave-on|All hair types and fragrance-free|Non-compliant due to Benzyl Alcohol",A lightweight serum, clinically shown to increase hair density by up to 3x in as few as 16 weeks.,"Water, Propanediol, Glycerin, Pentylene Glycol, Betaine...",Good for: Hair Thinning|Cruelty-Free|Fragrance Free
8,Living Proof,Scalp Care Density Serum for Thinning & Greying Hair,4,402,https://www.sephora.com/product/living-proof-scalp-care-density-serum,https://www.refinery29.com/images/11832839.jpg?format=webp&width=NaN&height=NaN&quality=85,60,40,40,"Serum format for scalp/hair|Lightweight, non-greasy claim|Targets density and shedding|Contains Fragrance — violates synthetic fragrance exclusion","A lightweight, non-greasy scalp serum that visibly increases hair density, reduces shedding and minimizes the appearance of grey hair.","Water, Glycerin, Polysorbate 20, Glycyrrhiza Glabra Root Extract...",All Hair Types|Clean at Sephora|Good for: Hair Thinning
9,Curlsmith,Full Lengths Density Elixir,4,379,https://ca.curlsmith.com/products/full-lengths-density-elixir,https://ca.curlsmith.com/cdn/shop/products/2oz_FullLengthsDensityElixir.jpg?v=1754472424&width=1200,100,100,80,"Serum format; leave-on night scalp treatment|Weightless, non-greasy, water-based|Suitable for all hair types|No Fragrance/Parfum and no listed alcohols",Curlsmith Full Lengths Density Elixir is a night scalp serum that stimulates hair follicles and promotes healthier, fuller, thicker, longer-looking hair.,"Water, Propanediol, Glycerin, Larix Europaea (Larch Tree) Wood Extract...",Helps support healthy hair growth|Weightless non-greasy water-based texture|Vegan, cruelty free
10,The Ordinary,The Ordinary Hair Care Multi-Peptide Serum For Hair Density 30mL,4,6,https://global.oliveyoung.com/product/detail?prdtNo=GA230117421,https://image.globaloliveyoungshop.com/prdtImg/1198/c4a5ebad-6ee2-4157-b29d-7fa5a9af6dbd.jpg,100,100,60,"Leave-on scalp serum format|Lightweight, non-sticky (non-greasy) texture|Suitable for all hair/scalp types|Alcohol-free per claims",Multi-Peptide Serum For Hair Density is a scalp serum designed to give lush, healthy-looking hair.,"Water, Propanediol, Butylene Glycol, Glycerine, Caffeine...",Light and non-sticky|Suitable for all scalp and hair types
