id,ingredientName,casNumber,supplierCount,availabilityLevel,singleSourceRisk,leadTimeWeeks,dataSource,riskNotes
1,Glycerin,56-81-5,15,High,false,2,Global Supply Index,"Widely available from multiple organic sources"
2,Hyaluronic Acid,9004-61-9,8,High,false,4,Supplier Database A,"Standard lead times|Multiple biotech suppliers"
3,Prickly Pear Seed Oil,90082-21-6,2,Low,true,12,Specialty Oil Registry,"Harvest dependent|High single-source risk"
4,Bakuchiol,10309-37-2,3,Medium,false,8,Ingredient Insights,"Growing demand may affect lead times"
5,Ceramide NP,100403-19-8,4,Medium,false,6,Chemical Safety Board,"Requires specialized handling during transport"
6,Ethoxylated Sorbitan,9005-65-6,12,High,false,3,Global Supply Index,"Stable pricing and availability"
7,Copper Tripeptide-1,89030-95-5,1,Low,true,10,Advanced Peptide Lab,"Patented process|Extremely high risk"
8,Niacinamide,98-92-0,20,High,false,2,Global Supply Index,"Commodity chemical|Very low risk"
9,Squalane (Olive derived),111-01-3,5,Medium,false,5,Sustainable Sourcing Port,"Seasonal fluctuations possible"
10,Tetrahexyldecyl Ascorbate,183476-82-6,0,None,false,0,N/A,"No sourcing data available for this region"
11,Retinol (Liposomal),68-26-8,4,Medium,false,7,Internal Database,"Light-sensitive handling required|Limited specialty suppliers"
12,Ferulic Acid,1135-24-6,6,High,false,4,Supplier Database A,"Plant-derived availability is stable"
13,Gold Peptide Complex,N/A,1,Low,true,14,Proprietary Lab,"Experimental phase|Exclusive single supplier"
14,Distilled Water,7732-18-5,50,High,false,1,Local Supply,"Utility grade|Zero risk"
15,Blue Tansy Oil,N/A,0,None,false,0,N/A,"Ingredient out of season|No active suppliers found"
